"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: numPackets"
"PacketProcessorBenchmarks.BenchmarkMultipleConsumerProcessor.benchmarkDisruptorImplementation","avgt",1,3,1.072540,0.013172,"ms/op",1
"PacketProcessorBenchmarks.BenchmarkMultipleConsumerProcessor.benchmarkDisruptorImplementation","avgt",1,3,0.930692,0.370714,"ms/op",10
"PacketProcessorBenchmarks.BenchmarkMultipleConsumerProcessor.benchmarkDisruptorImplementation","avgt",1,3,0.457507,0.253898,"ms/op",100
"PacketProcessorBenchmarks.BenchmarkMultipleConsumerProcessor.benchmarkDisruptorImplementation","avgt",1,3,1.940034,5.551752,"ms/op",1000
"PacketProcessorBenchmarks.BenchmarkMultipleConsumerProcessor.benchmarkDisruptorImplementation","avgt",1,3,15.599734,0.946039,"ms/op",10000
"PacketProcessorBenchmarks.BenchmarkMultipleConsumerProcessor.benchmarkDisruptorImplementation","avgt",1,3,154.480031,2.145115,"ms/op",100000
"PacketProcessorBenchmarks.BenchmarkMultipleConsumerProcessor.benchmarkQueueImplementation","avgt",1,3,1.312307,0.063526,"ms/op",1
"PacketProcessorBenchmarks.BenchmarkMultipleConsumerProcessor.benchmarkQueueImplementation","avgt",1,3,1.220673,1.607143,"ms/op",10
"PacketProcessorBenchmarks.BenchmarkMultipleConsumerProcessor.benchmarkQueueImplementation","avgt",1,3,1.216009,1.837319,"ms/op",100
"PacketProcessorBenchmarks.BenchmarkMultipleConsumerProcessor.benchmarkQueueImplementation","avgt",1,3,9.724878,2.207724,"ms/op",1000
"PacketProcessorBenchmarks.BenchmarkMultipleConsumerProcessor.benchmarkQueueImplementation","avgt",1,3,56.507833,5.524452,"ms/op",10000
"PacketProcessorBenchmarks.BenchmarkMultipleConsumerProcessor.benchmarkQueueImplementation","avgt",1,3,550.289300,53.982987,"ms/op",100000
"PacketProcessorBenchmarks.BenchmarkMultipleProducerProcessor.benchmarkDisruptorImplementation","avgt",1,3,1.163168,0.383373,"ms/op",1
"PacketProcessorBenchmarks.BenchmarkMultipleProducerProcessor.benchmarkDisruptorImplementation","avgt",1,3,0.277739,0.203087,"ms/op",10
"PacketProcessorBenchmarks.BenchmarkMultipleProducerProcessor.benchmarkDisruptorImplementation","avgt",1,3,1.173539,2.456237,"ms/op",100
"PacketProcessorBenchmarks.BenchmarkMultipleProducerProcessor.benchmarkDisruptorImplementation","avgt",1,3,4.606012,0.072055,"ms/op",1000
"PacketProcessorBenchmarks.BenchmarkMultipleProducerProcessor.benchmarkDisruptorImplementation","avgt",1,3,45.880856,2.704797,"ms/op",10000
"PacketProcessorBenchmarks.BenchmarkMultipleProducerProcessor.benchmarkDisruptorImplementation","avgt",1,3,454.913083,5.474470,"ms/op",100000
"PacketProcessorBenchmarks.BenchmarkMultipleProducerProcessor.benchmarkQueueImplementation","avgt",1,3,1.892631,0.233040,"ms/op",1
"PacketProcessorBenchmarks.BenchmarkMultipleProducerProcessor.benchmarkQueueImplementation","avgt",1,3,1.824919,0.938404,"ms/op",10
"PacketProcessorBenchmarks.BenchmarkMultipleProducerProcessor.benchmarkQueueImplementation","avgt",1,3,2.665367,2.266256,"ms/op",100
"PacketProcessorBenchmarks.BenchmarkMultipleProducerProcessor.benchmarkQueueImplementation","avgt",1,3,6.000689,40.198568,"ms/op",1000
"PacketProcessorBenchmarks.BenchmarkMultipleProducerProcessor.benchmarkQueueImplementation","avgt",1,3,22.507793,1.402029,"ms/op",10000
"PacketProcessorBenchmarks.BenchmarkMultipleProducerProcessor.benchmarkQueueImplementation","avgt",1,3,218.677612,68.050850,"ms/op",100000
"PacketProcessorBenchmarks.BenchmarkPipelineProcessor.benchmarkDisruptorImplementation","avgt",1,3,1.099924,0.136663,"ms/op",1
"PacketProcessorBenchmarks.BenchmarkPipelineProcessor.benchmarkDisruptorImplementation","avgt",1,3,0.444951,1.215503,"ms/op",10
"PacketProcessorBenchmarks.BenchmarkPipelineProcessor.benchmarkDisruptorImplementation","avgt",1,3,0.560722,0.195326,"ms/op",100
"PacketProcessorBenchmarks.BenchmarkPipelineProcessor.benchmarkDisruptorImplementation","avgt",1,3,1.784296,0.474195,"ms/op",1000
"PacketProcessorBenchmarks.BenchmarkPipelineProcessor.benchmarkDisruptorImplementation","avgt",1,3,15.830228,1.498529,"ms/op",10000
"PacketProcessorBenchmarks.BenchmarkPipelineProcessor.benchmarkDisruptorImplementation","avgt",1,3,155.714265,3.963789,"ms/op",100000
"PacketProcessorBenchmarks.BenchmarkPipelineProcessor.benchmarkQueueImplementation","avgt",1,3,1.354951,0.138546,"ms/op",1
"PacketProcessorBenchmarks.BenchmarkPipelineProcessor.benchmarkQueueImplementation","avgt",1,3,1.352335,0.024527,"ms/op",10
"PacketProcessorBenchmarks.BenchmarkPipelineProcessor.benchmarkQueueImplementation","avgt",1,3,1.664439,6.953992,"ms/op",100
"PacketProcessorBenchmarks.BenchmarkPipelineProcessor.benchmarkQueueImplementation","avgt",1,3,2.913592,0.383979,"ms/op",1000
"PacketProcessorBenchmarks.BenchmarkPipelineProcessor.benchmarkQueueImplementation","avgt",1,3,22.234778,2.531850,"ms/op",10000
"PacketProcessorBenchmarks.BenchmarkPipelineProcessor.benchmarkQueueImplementation","avgt",1,3,215.692441,24.930616,"ms/op",100000
